"ranking","username","name","profile_image","ENS","twitter_id","followers","verified","address","last_updated"
85,"Cryptopathic","path.eth 🛡️","https://pbs.twimg.com/profile_images/1525969831098474501/29TX4Qr1_normal.jpg","path.eth","2433432126",185117,false,"0x1d4b9b250b1bd41daa35d94bf9204ec1b0494ee3","10/08/2022"
86,"CVBelieve","Charlie Villanueva cvbelieve.eth","https://pbs.twimg.com/profile_images/1500899664815693827/tc_k0Yf7_normal.jpg","cvbelieve.eth","22578391",184944,true,"0x5704140584d218642a1b737ee09740c91532643d","10/08/2022"
87,"marlon_humphrey","marlonhumphrey.eth","https://pbs.twimg.com/profile_images/1508274161898213387/Le-9OHZq_normal.jpg","marlonhumphrey.eth","340049534",183776,true,"0x87a8c74dfa32e09700369584f5dfad1b5b653e2c","10/08/2022"
88,"richerd","richerd.eth","https://pbs.twimg.com/profile_images/1511590930251325697/yCcgkERM_normal.jpg","richerd.eth","9897812",178394,true,"0xeb1c22baacafac7836f20f684c946228401ff01c","10/08/2022"
89,"LilMoonLambo","yzy.eth","https://pbs.twimg.com/profile_images/1570314722011914241/3MqZM44s_normal.jpg","yzy.eth","2593497397",176193,false,"0xc524ed0fd1af56ce04becfa8ffbc73ffc085be3a","10/08/2022"
90,"FRONZ1LLA","fronz.eth","https://pbs.twimg.com/profile_images/1529947522113978379/w-T8nz4p_normal.jpg","fronz.eth","78394457",175911,true,"0xd3dcbae62dea34c65c1735ba80e60a0dfdf1cd73","10/08/2022"
91,"jorgeavilam","Jorge Avila Meléndez - jorgeavilam.eth","https://pbs.twimg.com/profile_images/1455986806906884099/ZOCh5kRh_normal.jpg","jorgeavilam.eth","4954131",174175,false,"0xc081b6a5ae7c2d68d6c2af2950742333b71ee028","10/06/2022"
92,"TBoyd91","tboyd.eth","https://pbs.twimg.com/profile_images/1550192572911570950/_PDateCH_normal.jpg","tboyd.eth","414994284",171499,true,"0x5abc5f885e235c30f99c80b9da8d21f85f65aea2","10/08/2022"
93,"pumpa_mental","PumpaMental.eth","https://pbs.twimg.com/profile_images/1458797123747516419/P55PHE1m_normal.jpg","pumpamental.eth","1110629290721206272",170920,false,"0x0e02af066168c0364735c4db51ce8ff55e2d49c9","10/06/2022"
94,"tropoFarmer","tropoFarmer | -35.eth","https://pbs.twimg.com/profile_images/1547001359622438912/1tITuXmH_normal.png","-35.eth","16273846",169120,true,"ENS has weird format!","10/05/2022"
95,"brandonsalim","brandonsalim.eth","https://pbs.twimg.com/profile_images/1537027741698396160/-M-syxEn_normal.jpg","brandonsalim.eth","78938870",169094,true,"0x0cbe76944fcf10d73d98f6935590c67400d5eb79","10/08/2022"
96,"bmh_m","bumhunter.eth","https://pbs.twimg.com/profile_images/1500899461995929604/zYIPlELy_normal.jpg","bumhunter.eth","960793004",165469,false,"0x3707786e5d5134bc575881fae1ef29070f370625","10/08/2022"
97,"TrustlessState","DavidHoffman.eth 🦇🔊🏴","https://pbs.twimg.com/profile_images/1561379734155452418/qaLxa_Rt_normal.png","davidhoffman.eth","981208355115974656",165438,false,"0xfa53d837b5ddd616007f91487f041d27edb683a0","10/08/2022"
98,"TwitPrensi","YasinK.eth","https://pbs.twimg.com/profile_images/1521992695069261824/UXtYN9Uu_normal.jpg","yasink.eth","77995208",163583,true,"0xbfa3b43b735971b7f1a92028a975b44e1dfc157a","10/08/2022"
99,"CryptoVonDoom","VonDoom.eth ☕️ (33.3%)","https://pbs.twimg.com/profile_images/1576361059618721792/tN6WzUpq_normal.png","vondoom.eth","949458210494140416",162290,false,"0x591f8a2decc1c86cce0c7bea22fa921c2c72fb95","10/08/2022"
100,"digitalartchick","artchick.eth 🔥👠","https://pbs.twimg.com/profile_images/1569378335507025920/88PvblRw_normal.png","artchick.eth","986900699366604800",159185,false,"0x0b8f4c4e7626a91460dac057eb43e0de59d5b44f","10/08/2022"
